epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.365,2.59371,4.03492,2.45424,0.00586,0.32364,0.05542,0.01825,1.98076,3.95154,2.15223,9.999e-05,9.999e-05,9.999e-05
2,15.1828,2.03619,3.45811,2.04535,0.00921,0.52982,0.17726,0.06141,1.82289,3.81601,1.96526,0.000209697,0.000209697,0.000209697
3,19.9978,1.93575,2.89451,1.98154,0.00902,0.54062,0.29741,0.1082,1.88024,3.50094,1.97599,0.000317937,0.000317937,0.000317937
4,24.9662,1.81677,2.39413,1.84606,0.78976,0.10708,0.32118,0.12092,1.94749,3.32397,1.94505,0.000424711,0.000424711,0.000424711
5,29.8187,1.71562,2.12539,1.80672,0.77691,0.21027,0.38727,0.12925,2.00952,3.17057,2.00836,0.000530018,0.000530018,0.000530018
6,34.7144,1.7216,2.01652,1.78461,0.76545,0.19195,0.43937,0.15161,2.02166,3.02371,1.94482,0.000633859,0.000633859,0.000633859
7,39.6411,1.76716,1.95365,1.81406,0.66972,0.4044,0.57212,0.19976,2.12241,2.54245,2.06166,0.000736233,0.000736233,0.000736233
8,44.5113,1.69933,1.8277,1.76699,0.70799,0.34045,0.63084,0.24455,1.99973,2.575,1.9095,0.000837141,0.000837141,0.000837141
9,49.4157,1.66487,1.82393,1.72973,0.55732,0.60412,0.7234,0.29124,1.9611,2.16297,1.91621,0.000936582,0.000936582,0.000936582
10,54.3133,1.71444,1.72611,1.76142,0.58571,0.72184,0.73553,0.29986,1.949,2.20272,1.97496,0.00103456,0.00103456,0.00103456
11,59.1893,1.68255,1.72457,1.76829,0.5316,0.74997,0.72638,0.28265,1.91576,2.18995,1.95268,0.00103767,0.00103767,0.00103767
12,64.1025,1.62438,1.69416,1.72812,0.59456,0.80239,0.72943,0.30135,1.89879,2.0053,1.93334,0.00103034,0.00103034,0.00103034
13,68.9815,1.62231,1.61769,1.71652,0.64796,0.78548,0.74282,0.3062,1.90881,1.74758,1.90066,0.00102301,0.00102301,0.00102301
14,73.8456,1.6075,1.62813,1.67547,0.66417,0.84477,0.7914,0.35119,1.82702,1.49763,1.86353,0.00101568,0.00101568,0.00101568
15,78.6636,1.61258,1.56085,1.69152,0.70097,0.78994,0.79107,0.31587,1.96406,1.49236,1.96042,0.00100834,0.00100834,0.00100834
16,83.5586,1.60711,1.51841,1.68137,0.65292,0.80089,0.79484,0.3466,1.86095,1.47117,1.88409,0.00100101,0.00100101,0.00100101
17,88.3971,1.60066,1.52431,1.66067,0.7107,0.77147,0.80983,0.36918,1.80794,1.40572,1.84219,0.000993678,0.000993678,0.000993678
18,93.2519,1.5882,1.51657,1.67559,0.7417,0.78722,0.79998,0.36557,1.82457,1.35715,1.839,0.000986346,0.000986346,0.000986346
19,98.0977,1.58307,1.52591,1.67766,0.69588,0.80718,0.80004,0.37987,1.7752,1.31364,1.83394,0.000979013,0.000979013,0.000979013
20,102.974,1.54994,1.45789,1.66822,0.79732,0.7949,0.84788,0.3985,1.78232,1.2423,1.79229,0.000971681,0.000971681,0.000971681
21,107.844,1.5927,1.49958,1.69379,0.79647,0.80252,0.82449,0.38145,1.75178,1.24943,1.80086,0.000964348,0.000964348,0.000964348
22,112.658,1.54561,1.48985,1.65641,0.77055,0.84866,0.83113,0.37591,1.85863,1.22515,1.84214,0.000957015,0.000957015,0.000957015
23,117.468,1.57327,1.41931,1.64853,0.78157,0.83658,0.8586,0.41894,1.70499,1.22852,1.73664,0.000949683,0.000949683,0.000949683
24,122.322,1.55118,1.3993,1.64792,0.74985,0.8625,0.86471,0.3805,1.85594,1.17093,1.85517,0.00094235,0.00094235,0.00094235
25,127.112,1.56205,1.384,1.6314,0.77189,0.85251,0.85984,0.41262,1.75513,1.17097,1.81257,0.000935018,0.000935018,0.000935018
26,131.923,1.57758,1.41109,1.67212,0.80452,0.83639,0.85409,0.3712,1.8573,1.22525,1.85861,0.000927685,0.000927685,0.000927685
27,136.741,1.54615,1.35634,1.65428,0.73135,0.87296,0.85534,0.4074,1.74734,1.25322,1.78808,0.000920352,0.000920352,0.000920352
28,141.631,1.52333,1.35682,1.63283,0.71904,0.86266,0.85486,0.41633,1.69609,1.11622,1.75072,0.00091302,0.00091302,0.00091302
29,146.42,1.47403,1.34429,1.60905,0.75477,0.84991,0.85865,0.41607,1.70107,1.13116,1.74944,0.000905687,0.000905687,0.000905687
30,151.288,1.50268,1.28759,1.61384,0.8089,0.89263,0.89115,0.44426,1.64665,1.13545,1.73788,0.000898355,0.000898355,0.000898355
31,156.148,1.51008,1.3051,1.64133,0.8139,0.88889,0.88893,0.39621,1.80922,1.09215,1.82794,0.000891022,0.000891022,0.000891022
32,160.93,1.49971,1.28166,1.63189,0.80582,0.86584,0.87508,0.44333,1.62273,1.00883,1.71984,0.000883689,0.000883689,0.000883689
33,165.627,1.49885,1.28109,1.6394,0.81909,0.84393,0.86704,0.40844,1.75826,1.06511,1.79299,0.000876357,0.000876357,0.000876357
34,170.41,1.48226,1.26177,1.5924,0.84573,0.88059,0.87654,0.4469,1.63836,1.0383,1.701,0.000869024,0.000869024,0.000869024
35,175.191,1.50107,1.257,1.64255,0.84544,0.87961,0.87167,0.37845,1.90258,1.04023,1.89089,0.000861692,0.000861692,0.000861692
36,179.949,1.54049,1.24954,1.62427,0.87695,0.87906,0.90536,0.46146,1.63548,0.96881,1.70612,0.000854359,0.000854359,0.000854359
37,184.744,1.51101,1.25333,1.64094,0.84775,0.88585,0.90077,0.45251,1.67707,0.9872,1.72139,0.000847026,0.000847026,0.000847026
38,189.442,1.44977,1.2222,1.59529,0.85266,0.82547,0.88481,0.40966,1.77851,1.13741,1.80175,0.000839694,0.000839694,0.000839694
39,194.128,1.47587,1.24413,1.59737,0.85116,0.85056,0.8873,0.47646,1.58424,0.99881,1.67055,0.000832361,0.000832361,0.000832361
40,198.998,1.463,1.17393,1.57077,0.81219,0.8838,0.86909,0.41483,1.78721,0.99575,1.79842,0.000825029,0.000825029,0.000825029
41,203.736,1.46268,1.16349,1.55387,0.82892,0.86921,0.87158,0.44481,1.67976,0.97454,1.71354,0.000817696,0.000817696,0.000817696
42,208.465,1.45396,1.19505,1.5867,0.87159,0.881,0.91298,0.44218,1.70535,0.94354,1.73377,0.000810363,0.000810363,0.000810363
43,213.16,1.44659,1.18631,1.58459,0.88656,0.88196,0.91656,0.42375,1.79396,0.95848,1.81386,0.000803031,0.000803031,0.000803031
44,217.851,1.43551,1.11841,1.54791,0.85007,0.89016,0.91005,0.48913,1.56682,0.90507,1.63284,0.000795698,0.000795698,0.000795698
45,222.558,1.47418,1.18535,1.62664,0.85973,0.87279,0.89402,0.45361,1.63293,0.94546,1.66708,0.000788366,0.000788366,0.000788366
