epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.8857,2.17819,4.03972,2.08579,0.8,0.25723,0.52861,0.47656,1.85312,4.32374,2.12542,9.999e-05,9.999e-05,9.999e-05
2,131.195,1.84825,3.22983,1.83647,1,0.47377,0.73678,0.62855,1.75006,3.97683,1.89786,0.000209697,0.000209697,0.000209697
3,195.48,1.74915,2.53718,1.76769,1,0.54188,0.77087,0.64746,1.64924,3.74084,1.7946,0.000317937,0.000317937,0.000317937
4,264.257,1.69538,2.13748,1.70256,1,0.69139,0.84563,0.6881,1.6239,3.48606,1.78924,0.000424711,0.000424711,0.000424711
5,355.506,1.65665,1.95602,1.68598,1,0.78527,0.89258,0.71551,1.70734,3.27946,1.81551,0.000530018,0.000530018,0.000530018
6,435.306,1.66829,1.97477,1.71631,1,0.82408,0.91198,0.72626,1.72533,2.9926,1.80605,0.000633859,0.000633859,0.000633859
7,514.648,1.65036,1.8212,1.67111,1,0.82229,0.9111,0.72777,1.73115,3.05914,1.79559,0.000736233,0.000736233,0.000736233
8,597.145,1.66217,1.74942,1.69011,1,0.76424,0.88209,0.71399,1.74937,3.10923,1.87943,0.000837141,0.000837141,0.000837141
9,686.41,1.61277,1.63474,1.62173,0.80645,0.71555,0.80765,0.6227,1.74227,2.75547,1.83453,0.000936582,0.000936582,0.000936582
10,1033.53,1.62409,1.60968,1.66763,0.80504,0.57608,0.71532,0.56963,1.74282,2.61378,1.88334,0.00103456,0.00103456,0.00103456
11,1630.96,1.62364,1.61082,1.64479,1,0.57632,0.78815,0.66995,1.72514,2.51772,1.88022,0.00103767,0.00103767,0.00103767
12,1716.16,1.57958,1.5436,1.58658,0.82214,0.36683,0.485,0.34906,1.71143,2.33785,1.84737,0.00103034,0.00103034,0.00103034
13,3660.07,1.59113,1.543,1.617,0.88466,0.34737,0.54606,0.43102,1.71241,2.0396,1.84169,0.00102301,0.00102301,0.00102301
14,4673.96,1.6012,1.55044,1.65093,0.88421,0.40298,0.57594,0.44811,1.6708,1.84814,1.77768,0.00101568,0.00101568,0.00101568
15,6536.77,1.60371,1.47493,1.60579,0.97436,0.65972,0.81776,0.62836,1.65702,1.8896,1.75388,0.00100834,0.00100834,0.00100834
16,8497.58,1.55215,1.38968,1.57596,0.89757,0.426,0.6056,0.45737,1.79328,1.7831,1.82713,0.00100101,0.00100101,0.00100101
17,9636.04,1.57059,1.43529,1.63414,0.90993,0.55604,0.71932,0.5216,1.73197,2.00268,1.82832,0.000993678,0.000993678,0.000993678
18,9784.09,1.59205,1.42993,1.63886,0.95367,0.69252,0.83617,0.64498,1.66479,1.8123,1.74068,0.000986346,0.000986346,0.000986346
19,9948.66,1.51491,1.37254,1.56612,0.96352,0.54836,0.75237,0.59286,1.66894,1.77905,1.68727,0.000979013,0.000979013,0.000979013
20,10068.9,1.51468,1.37312,1.55879,1,0.72952,0.86473,0.72499,1.64048,1.68055,1.72668,0.000971681,0.000971681,0.000971681
21,10210,1.52231,1.29119,1.55552,1,0.82404,0.91196,0.75103,1.68995,1.6778,1.75517,0.000964348,0.000964348,0.000964348
22,10349.8,1.49163,1.30041,1.54686,1,0.90003,0.94992,0.78152,1.60886,1.55974,1.71728,0.000957015,0.000957015,0.000957015
23,10495.6,1.49381,1.26032,1.53649,1,0.69485,0.8474,0.71825,1.62846,1.43124,1.7248,0.000949683,0.000949683,0.000949683
24,10642.3,1.49721,1.26091,1.54938,0.92228,0.44985,0.67937,0.56534,1.57259,1.44979,1.70293,0.00094235,0.00094235,0.00094235
25,10828.5,1.43745,1.20717,1.52902,0.83003,0.37625,0.50086,0.36236,1.53444,1.38052,1.67065,0.000935018,0.000935018,0.000935018
26,11025.7,1.4659,1.20299,1.51329,0.93187,0.47386,0.68691,0.56547,1.59297,1.36641,1.69532,0.000927685,0.000927685,0.000927685
27,11166,1.43462,1.1963,1.5044,0.9318,0.48693,0.69708,0.57337,1.55156,1.35668,1.66309,0.000920352,0.000920352,0.000920352
28,11362.9,1.45958,1.22262,1.53665,0.80032,0.3238,0.39534,0.26456,1.51249,1.31528,1.64272,0.00091302,0.00091302,0.00091302
29,11565.7,1.4185,1.22445,1.52009,0.85242,0.38922,0.51354,0.37416,1.46802,1.28591,1.6212,0.000905687,0.000905687,0.000905687
30,11741.8,1.43848,1.15483,1.50078,0.86918,0.30363,0.45355,0.3264,1.6742,1.59973,1.78967,0.000898355,0.000898355,0.000898355
31,11908.5,1.38806,1.10693,1.45846,0.841,0.2945,0.44567,0.33585,1.59281,1.44258,1.7001,0.000891022,0.000891022,0.000891022
32,12039.7,1.39954,1.12858,1.49999,0.82268,0.24365,0.33347,0.23077,1.52205,1.48255,1.65154,0.000883689,0.000883689,0.000883689
33,12204.1,1.40257,1.0874,1.48736,0.83348,0.25118,0.41059,0.31929,1.45408,1.32097,1.58818,0.000876357,0.000876357,0.000876357
34,12380.5,1.40517,1.12319,1.50355,0.85005,0.30897,0.4427,0.33424,1.49119,1.19585,1.60519,0.000869024,0.000869024,0.000869024
35,13736.3,1.36839,1.06026,1.4591,0.92558,0.37345,0.56342,0.45903,1.41318,1.16329,1.56974,0.000861692,0.000861692,0.000861692
36,14491.8,1.32787,1.06148,1.44341,0.79708,0.26426,0.27009,0.15801,1.38372,1.10476,1.51812,0.000854359,0.000854359,0.000854359
37,14723.1,1.3386,1.04553,1.45075,0.77213,0.19265,0.19513,0.11374,1.40197,1.14626,1.51625,0.000847026,0.000847026,0.000847026
38,14957.3,1.38525,1.02482,1.45917,0.78069,0.16676,0.17074,0.1028,1.38662,1.09138,1.53118,0.000839694,0.000839694,0.000839694
