epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4288,2.69305,4.08452,2.73308,0.00079,0.14146,0.00539,0.00141,2.91811,4.00762,3.08145,0.08911,0.00011,0.00011
2,39.9407,2.01702,3.57805,2.28687,0.0009,0.1972,0.01089,0.00262,2.82819,3.79229,2.9853,0.07723,0.000229998,0.000229998
3,45.6281,1.95496,3.01804,2.17798,0.09255,0.31012,0.13544,0.04304,2.55288,3.61001,2.77788,0.06535,0.000349986,0.000349986
4,51.1464,1.85096,2.73866,2.12839,0.06103,0.26118,0.07672,0.02372,2.51888,3.61691,2.85428,0.05347,0.000469959,0.000469959
5,56.5966,1.85481,2.43367,2.10455,0.3889,0.16277,0.18253,0.05255,2.41353,3.38084,2.58726,0.0415899,0.000589908,0.000589908
6,62.1288,1.69749,2.02717,2.01248,0.48219,0.31268,0.3983,0.13116,2.33019,2.96973,2.56831,0.0297098,0.000709827,0.000709827
7,67.5786,1.76742,2.05241,2.01275,0.47528,0.37835,0.3589,0.114,2.3332,2.88867,2.40223,0.0178297,0.000829708,0.000829708
8,73.0185,1.757,1.97683,1.99301,0.41103,0.44413,0.37906,0.12153,2.35935,3.02854,2.49026,0.00594955,0.000949545,0.000949545
9,78.5183,1.69454,1.85346,1.95802,0.31642,0.59448,0.40745,0.15097,2.17749,3.07793,2.31104,0.000999375,0.000999375,0.000999375
10,84.0169,1.71375,1.81291,1.96834,0.34706,0.60992,0.47983,0.17341,2.0936,2.17876,2.24256,0.000999209,0.000999209,0.000999209
11,89.5138,1.64978,1.73758,1.94851,0.54191,0.6731,0.61386,0.25152,2.01603,1.88685,2.14313,0.000999023,0.000999023,0.000999023
12,95.0079,1.70263,1.82239,1.95359,0.54483,0.67482,0.61266,0.23242,2.07468,1.84063,2.19466,0.000998818,0.000998818,0.000998818
13,100.464,1.62677,1.64426,1.91267,0.62652,0.68821,0.66171,0.28045,1.99594,1.90689,2.13367,0.000998594,0.000998594,0.000998594
14,105.953,1.69273,1.65044,1.90868,0.69886,0.68963,0.70248,0.29373,1.9432,1.75877,2.09565,0.00099835,0.00099835,0.00099835
15,111.534,1.5962,1.62015,1.87122,0.69932,0.7508,0.71658,0.27206,2.07189,1.48593,2.14634,0.000998086,0.000998086,0.000998086
16,116.96,1.67082,1.64476,1.93089,0.65104,0.74747,0.70006,0.28376,1.97011,1.41907,2.08141,0.000997803,0.000997803,0.000997803
17,122.396,1.6011,1.57648,1.90174,0.62661,0.7194,0.69956,0.27326,2.0842,1.64747,2.22851,0.000997501,0.000997501,0.000997501
18,127.86,1.60037,1.50686,1.87453,0.65126,0.75801,0.74867,0.32332,1.87515,1.74296,2.02986,0.000997179,0.000997179,0.000997179
19,133.357,1.53109,1.55887,1.82371,0.64771,0.70195,0.71875,0.31124,1.8128,1.65458,1.97319,0.000996838,0.000996838,0.000996838
20,138.829,1.57161,1.53643,1.84224,0.65764,0.72403,0.72568,0.30624,1.87901,1.71182,2.06332,0.000996477,0.000996477,0.000996477
21,144.285,1.56289,1.5012,1.8408,0.62865,0.75731,0.72789,0.30622,1.88676,1.6291,2.05604,0.000996097,0.000996097,0.000996097
22,149.742,1.51835,1.43374,1.78053,0.58394,0.73437,0.73106,0.27191,2.02131,1.66774,2.19533,0.000995697,0.000995697,0.000995697
23,155.214,1.5404,1.44825,1.82344,0.68808,0.75403,0.73357,0.30708,1.92117,1.36837,2.051,0.000995278,0.000995278,0.000995278
24,160.69,1.54472,1.44832,1.7728,0.74264,0.80751,0.77994,0.34127,1.8627,1.29041,2.01308,0.00099484,0.00099484,0.00099484
25,166.204,1.47122,1.40444,1.74407,0.71123,0.81055,0.80211,0.33852,1.92748,1.33568,2.0623,0.000994383,0.000994383,0.000994383
26,171.822,1.53627,1.4799,1.77302,0.73397,0.78955,0.82067,0.3622,1.88127,1.30413,2.01964,0.000993906,0.000993906,0.000993906
27,177.311,1.46615,1.36659,1.73145,0.70513,0.74408,0.76178,0.27305,2.13552,1.4371,2.21586,0.00099341,0.00099341,0.00099341
28,182.781,1.51442,1.38978,1.77647,0.74007,0.76642,0.78383,0.33739,1.9146,1.37467,2.00521,0.000992894,0.000992894,0.000992894
29,188.213,1.52547,1.5078,1.8155,0.70254,0.77771,0.77996,0.32859,1.96945,1.30809,2.06803,0.000992359,0.000992359,0.000992359
30,193.697,1.49895,1.44209,1.81125,0.76735,0.82578,0.8163,0.34336,1.97963,1.23696,2.07003,0.000991805,0.000991805,0.000991805
31,199.162,1.46054,1.30283,1.73102,0.75567,0.76097,0.79427,0.31958,2.01377,1.42309,2.04672,0.000991232,0.000991232,0.000991232
32,204.631,1.46337,1.28571,1.69613,0.81405,0.73393,0.79902,0.37897,1.80889,1.32966,1.86852,0.00099064,0.00099064,0.00099064
33,210.181,1.46715,1.31361,1.73998,0.74691,0.78585,0.81676,0.38184,1.75377,1.18964,1.88643,0.000990028,0.000990028,0.000990028
34,215.709,1.43243,1.32679,1.7354,0.76807,0.80494,0.82203,0.37033,1.86155,1.24922,1.97918,0.000989398,0.000989398,0.000989398
35,221.209,1.47699,1.34393,1.75107,0.79699,0.78745,0.8177,0.32887,1.99114,1.36365,2.12666,0.000988748,0.000988748,0.000988748
36,226.677,1.47012,1.36029,1.72601,0.70101,0.72506,0.78456,0.34124,1.94151,1.48548,2.02542,0.000988079,0.000988079,0.000988079
37,232.122,1.46869,1.35142,1.77368,0.76695,0.79563,0.8096,0.37124,1.82708,1.31388,1.91266,0.000987391,0.000987391,0.000987391
38,237.714,1.50669,1.35923,1.81691,0.73481,0.80128,0.80842,0.38196,1.77526,1.23082,1.90374,0.000986684,0.000986684,0.000986684
39,243.198,1.50523,1.36387,1.80243,0.75208,0.79791,0.80429,0.37977,1.80741,1.23011,1.89882,0.000985958,0.000985958,0.000985958
40,248.673,1.47422,1.28191,1.74742,0.74863,0.81653,0.81952,0.37215,1.80395,1.22894,1.90596,0.000985213,0.000985213,0.000985213
41,254.137,1.45531,1.2741,1.72592,0.84091,0.84689,0.86602,0.40972,1.72378,1.09911,1.86206,0.000984449,0.000984449,0.000984449
42,259.64,1.46112,1.295,1.69521,0.82652,0.85765,0.85926,0.39695,1.7677,1.09141,1.89047,0.000983666,0.000983666,0.000983666
43,265.133,1.44964,1.26532,1.71361,0.76328,0.85986,0.84033,0.40172,1.73049,1.10376,1.85069,0.000982864,0.000982864,0.000982864
44,270.609,1.43875,1.24708,1.7065,0.7734,0.83643,0.83846,0.37212,1.84522,1.07026,1.92744,0.000982043,0.000982043,0.000982043
45,276.09,1.45081,1.30663,1.72649,0.78204,0.87695,0.86921,0.37717,1.80763,1.1013,1.90907,0.000981204,0.000981204,0.000981204
46,281.62,1.42844,1.26806,1.72099,0.75344,0.8749,0.84205,0.39389,1.73575,1.11874,1.86081,0.000980345,0.000980345,0.000980345
47,287.113,1.40909,1.28301,1.69811,0.77591,0.84653,0.8258,0.3788,1.79537,1.0993,1.92859,0.000979468,0.000979468,0.000979468
48,292.651,1.44067,1.23992,1.71656,0.79913,0.85964,0.84122,0.38702,1.76347,1.18982,1.93748,0.000978572,0.000978572,0.000978572
49,298.162,1.40707,1.21178,1.69762,0.72693,0.84506,0.8367,0.40055,1.72953,1.26471,1.86298,0.000977658,0.000977658,0.000977658
50,303.68,1.41361,1.17934,1.65962,0.77065,0.82564,0.8627,0.41236,1.75178,1.18199,1.87306,0.000976725,0.000976725,0.000976725
51,309.271,1.43172,1.24469,1.686,0.82514,0.83823,0.8821,0.40857,1.81295,1.17707,1.91997,0.000975773,0.000975773,0.000975773
52,314.747,1.41687,1.22775,1.70047,0.81126,0.84549,0.88337,0.39811,1.80624,1.11039,1.92255,0.000974803,0.000974803,0.000974803
53,320.232,1.39495,1.17356,1.69148,0.8281,0.83302,0.85522,0.39086,1.86386,1.09409,1.93912,0.000973814,0.000973814,0.000973814
54,325.699,1.41225,1.18552,1.67421,0.79165,0.8717,0.87158,0.40118,1.78081,1.0535,1.91173,0.000972806,0.000972806,0.000972806
55,331.138,1.43366,1.20981,1.7109,0.76179,0.8587,0.86836,0.39317,1.74765,1.05267,1.87673,0.00097178,0.00097178,0.00097178
56,336.601,1.44202,1.20719,1.75313,0.75746,0.87587,0.87887,0.42614,1.62586,1.08835,1.79037,0.000970736,0.000970736,0.000970736
57,342.097,1.44129,1.17226,1.67202,0.75374,0.8411,0.822,0.36889,1.84375,1.06963,1.95683,0.000969673,0.000969673,0.000969673
58,347.583,1.41361,1.16055,1.65304,0.76521,0.87207,0.8645,0.4176,1.67771,1.02379,1.84164,0.000968592,0.000968592,0.000968592
59,353.055,1.38899,1.13995,1.68587,0.80062,0.89922,0.90351,0.44129,1.72439,1.00015,1.83803,0.000967493,0.000967493,0.000967493
60,358.588,1.44314,1.21526,1.67548,0.83705,0.87377,0.89104,0.4471,1.69824,1.00714,1.80814,0.000966375,0.000966375,0.000966375
61,364.114,1.39761,1.20181,1.67527,0.77031,0.8613,0.82792,0.37468,1.84492,1.08022,1.93476,0.000965239,0.000965239,0.000965239
62,369.567,1.36342,1.14907,1.6432,0.80546,0.8584,0.87807,0.44284,1.64466,1.01679,1.79929,0.000964085,0.000964085,0.000964085
63,375.035,1.43284,1.2265,1.69688,0.83936,0.86825,0.88997,0.4146,1.73923,1.02244,1.85566,0.000962913,0.000962913,0.000962913
64,380.637,1.35982,1.13378,1.65892,0.82407,0.85354,0.89364,0.43428,1.63963,1.00348,1.7887,0.000961723,0.000961723,0.000961723
65,386.078,1.43312,1.17235,1.72272,0.80824,0.8603,0.87203,0.42987,1.70485,1.01707,1.82374,0.000960515,0.000960515,0.000960515
66,391.557,1.39947,1.13842,1.70856,0.82749,0.86123,0.8663,0.40662,1.75829,0.99231,1.87193,0.000959289,0.000959289,0.000959289
67,397.05,1.35405,1.11339,1.65629,0.81986,0.88159,0.8911,0.44739,1.62179,0.98624,1.76727,0.000958044,0.000958044,0.000958044
68,402.557,1.33962,1.12743,1.59831,0.86117,0.83432,0.89097,0.44644,1.65565,1.02652,1.79291,0.000956782,0.000956782,0.000956782
69,408.035,1.32599,1.07115,1.62021,0.79179,0.83461,0.81405,0.41273,1.6955,1.13399,1.82522,0.000955502,0.000955502,0.000955502
70,413.501,1.34289,1.13602,1.62475,0.81381,0.8514,0.8424,0.43171,1.69634,1.00959,1.809,0.000954205,0.000954205,0.000954205
71,418.958,1.39541,1.20042,1.66283,0.8969,0.88375,0.92063,0.45712,1.67652,0.92381,1.79549,0.000952889,0.000952889,0.000952889
72,424.438,1.33542,1.09509,1.66162,0.86587,0.88837,0.90238,0.44274,1.70429,0.932,1.8181,0.000951556,0.000951556,0.000951556
73,429.908,1.35487,1.11502,1.62945,0.82058,0.88432,0.86923,0.45607,1.59461,0.94112,1.73141,0.000950206,0.000950206,0.000950206
74,435.362,1.32919,1.06131,1.61889,0.87502,0.89025,0.9079,0.43321,1.7409,0.9143,1.82504,0.000948837,0.000948837,0.000948837
75,440.943,1.36469,1.07908,1.62069,0.89201,0.89416,0.90675,0.43321,1.70088,0.90383,1.8097,0.000947452,0.000947452,0.000947452
76,446.386,1.32695,1.04989,1.6496,0.85964,0.89462,0.89932,0.41384,1.70643,0.98457,1.83719,0.000946048,0.000946048,0.000946048
77,451.826,1.31641,1.02286,1.57615,0.85571,0.90859,0.91564,0.43472,1.69198,0.94083,1.81903,0.000944628,0.000944628,0.000944628
78,457.33,1.35165,1.1857,1.66154,0.87737,0.89969,0.91609,0.45415,1.66518,0.90724,1.80478,0.000943189,0.000943189,0.000943189
79,462.807,1.36898,1.11895,1.68126,0.87017,0.90734,0.91965,0.4726,1.61959,0.88867,1.7622,0.000941734,0.000941734,0.000941734
80,468.325,1.35439,1.10545,1.62279,0.84458,0.89367,0.90451,0.47707,1.6019,0.89319,1.7251,0.000940262,0.000940262,0.000940262
81,473.859,1.28065,1.02321,1.56011,0.88723,0.89805,0.92069,0.44143,1.70857,0.92252,1.82852,0.000938772,0.000938772,0.000938772
82,479.346,1.33916,1.02817,1.61345,0.87743,0.88295,0.91245,0.41676,1.80643,0.95216,1.92594,0.000937265,0.000937265,0.000937265
83,484.807,1.33033,1.07636,1.6106,0.85854,0.88301,0.8807,0.4329,1.74135,0.93241,1.84251,0.000935741,0.000935741,0.000935741
84,490.301,1.35331,1.05521,1.59016,0.856,0.89604,0.89202,0.45091,1.70902,0.89072,1.82734,0.0009342,0.0009342,0.0009342
85,495.78,1.33458,1.10561,1.63302,0.84335,0.87071,0.87505,0.42369,1.77645,0.97602,1.85836,0.000932642,0.000932642,0.000932642
86,501.256,1.35007,1.0681,1.61356,0.87494,0.90047,0.90232,0.46707,1.58861,0.95806,1.7468,0.000931067,0.000931067,0.000931067
87,506.719,1.38948,1.14536,1.64893,0.89307,0.89768,0.93317,0.43957,1.74529,0.95655,1.8757,0.000929476,0.000929476,0.000929476
88,512.28,1.31288,1.05731,1.62923,0.88914,0.91274,0.9341,0.49266,1.5776,0.90418,1.74073,0.000927867,0.000927867,0.000927867
89,517.773,1.30827,1.04329,1.61913,0.83689,0.87572,0.87779,0.41657,1.79549,0.94998,1.92897,0.000926242,0.000926242,0.000926242
90,523.26,1.29679,1.0507,1.60915,0.8451,0.89526,0.88275,0.43885,1.73812,0.88583,1.87452,0.000924601,0.000924601,0.000924601
91,528.725,1.29936,1.00355,1.54718,0.86947,0.86299,0.8867,0.454,1.71727,0.89352,1.79789,0.000922942,0.000922942,0.000922942
92,534.17,1.31419,1.22777,1.60647,0.88647,0.87529,0.90437,0.45028,1.72922,0.8827,1.81738,0.000921268,0.000921268,0.000921268
93,539.62,1.31484,1.07047,1.62501,0.88987,0.85941,0.89455,0.46021,1.68025,0.93139,1.78214,0.000919576,0.000919576,0.000919576
94,545.068,1.30111,1.01654,1.62791,0.90221,0.89815,0.91662,0.45841,1.69841,0.85114,1.78897,0.000917869,0.000917869,0.000917869
95,550.519,1.26465,0.98477,1.56226,0.8715,0.8767,0.89172,0.45467,1.70069,0.82471,1.8038,0.000916145,0.000916145,0.000916145
96,556.032,1.28298,0.98158,1.55013,0.89449,0.89418,0.9212,0.477,1.62667,0.80767,1.7466,0.000914405,0.000914405,0.000914405
97,561.484,1.28482,0.98442,1.58456,0.89536,0.90135,0.93046,0.48935,1.58853,0.83068,1.72696,0.000912649,0.000912649,0.000912649
98,566.98,1.34596,1.08158,1.61425,0.87877,0.91066,0.92249,0.46056,1.68422,0.8477,1.81779,0.000910876,0.000910876,0.000910876
99,572.481,1.31018,0.9897,1.60129,0.867,0.9071,0.92154,0.46019,1.69673,0.87976,1.82376,0.000909088,0.000909088,0.000909088
