epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,82.5231,1.97327,13.4736,0.02304,0.36693,0.51247,0.40626,0.16561,1.79534,10.266,0.02563,0.00035609,0.00035609,0.00035609
2,104.243,1.64152,6.21167,0.01785,0.57206,0.65214,0.60097,0.28966,1.79451,6.27279,0.02656,0.000724026,0.000724026,0.000724026
3,125.837,1.64913,3.81487,0.0167,0.62402,0.75542,0.65669,0.27095,1.85289,4.78619,0.02814,0.00108952,0.00108952,0.00108952
4,147.476,1.6874,3.03296,0.01835,0.55488,0.65144,0.59428,0.2489,1.9241,4.67326,0.02952,0.0011,0.0011,0.0011
5,169.321,1.68164,2.58563,0.01827,0.66733,0.71111,0.66738,0.29946,1.88445,2.91626,0.03059,0.00109633,0.00109633,0.00109633
6,191.383,1.68277,2.20302,0.01766,0.70681,0.7644,0.7237,0.35121,1.72628,2.45469,0.02499,0.00109267,0.00109267,0.00109267
7,213.031,1.71118,2.13957,0.01923,0.67913,0.72419,0.7003,0.3271,1.82174,2.25343,0.02585,0.001089,0.001089,0.001089
8,234.669,1.66537,1.86292,0.01757,0.71427,0.78215,0.74527,0.32266,1.75751,2.29893,0.02512,0.00108534,0.00108534,0.00108534
9,256.193,1.67494,1.75955,0.01846,0.65058,0.74136,0.69936,0.32327,1.77688,2.15531,0.02602,0.00108167,0.00108167,0.00108167
10,277.817,1.70036,1.81371,0.01779,0.70364,0.77078,0.69146,0.32811,1.83629,1.80188,0.02944,0.001078,0.001078,0.001078
11,301.005,1.62921,1.58173,0.01733,0.722,0.72276,0.74926,0.34512,1.85174,1.83069,0.02667,0.00107434,0.00107434,0.00107434
12,327.791,1.67269,1.61685,0.01835,0.7434,0.76083,0.76882,0.37382,1.7559,1.57967,0.02393,0.00107067,0.00107067,0.00107067
13,349.462,1.62132,1.48381,0.01706,0.79267,0.78297,0.77001,0.38933,1.74397,1.52303,0.02533,0.001067,0.001067,0.001067
14,371.242,1.66554,1.49046,0.0177,0.73951,0.77605,0.73722,0.358,1.79426,1.52048,0.0261,0.00106334,0.00106334,0.00106334
15,392.972,1.60243,1.48164,0.0174,0.76093,0.80612,0.75943,0.37578,1.80923,1.4274,0.02697,0.00105967,0.00105967,0.00105967
16,414.646,1.57344,1.40543,0.01658,0.8177,0.77423,0.79959,0.39095,1.7589,1.34901,0.02473,0.00105601,0.00105601,0.00105601
17,436.416,1.58664,1.41855,0.01777,0.82149,0.749,0.78774,0.40122,1.79472,1.41858,0.02735,0.00105234,0.00105234,0.00105234
18,458.138,1.59214,1.44032,0.01728,0.78823,0.75381,0.77182,0.41089,1.70034,1.40669,0.02432,0.00104867,0.00104867,0.00104867
19,479.891,1.58991,1.42846,0.01699,0.73204,0.75292,0.73266,0.36017,1.77328,1.48836,0.02574,0.00104501,0.00104501,0.00104501
20,501.696,1.56539,1.35271,0.01656,0.75362,0.79589,0.75513,0.37998,1.7918,1.36107,0.02675,0.00104134,0.00104134,0.00104134
21,523.303,1.61794,1.41377,0.01793,0.79603,0.79851,0.74822,0.3654,1.79405,1.39789,0.02604,0.00103767,0.00103767,0.00103767
22,544.982,1.57992,1.34422,0.01805,0.76563,0.7872,0.75415,0.36169,1.79197,1.46501,0.02753,0.00103401,0.00103401,0.00103401
23,566.911,1.57861,1.25947,0.01642,0.79897,0.77729,0.79455,0.38738,1.77554,1.33365,0.0252,0.00103034,0.00103034,0.00103034
24,588.562,1.55941,1.26264,0.01607,0.82145,0.78078,0.798,0.39332,1.76336,1.31908,0.02462,0.00102668,0.00102668,0.00102668
25,610.327,1.5449,1.24963,0.0176,0.8183,0.77538,0.77374,0.38489,1.81749,1.35233,0.02642,0.00102301,0.00102301,0.00102301
26,632.113,1.53886,1.26494,0.01664,0.85128,0.8223,0.79887,0.38582,1.78026,1.33708,0.02482,0.00101934,0.00101934,0.00101934
27,653.809,1.54716,1.25019,0.01625,0.7604,0.78163,0.78176,0.41914,1.68217,1.34607,0.02339,0.00101568,0.00101568,0.00101568
28,675.495,1.49907,1.16583,0.01523,0.78738,0.79381,0.79575,0.39626,1.68547,1.28768,0.02286,0.00101201,0.00101201,0.00101201
29,697.235,1.48538,1.17371,0.01544,0.79748,0.79541,0.78643,0.40158,1.75858,1.28953,0.0253,0.00100834,0.00100834,0.00100834
30,718.904,1.48071,1.12956,0.01543,0.80414,0.8075,0.80754,0.41073,1.70742,1.2293,0.02362,0.00100468,0.00100468,0.00100468
31,740.675,1.47922,1.16234,0.01518,0.816,0.78831,0.79632,0.39343,1.80308,1.27208,0.02761,0.00100101,0.00100101,0.00100101
32,762.484,1.49924,1.10774,0.0156,0.7898,0.80939,0.80645,0.38695,1.78435,1.27388,0.02573,0.000997345,0.000997345,0.000997345
33,784.17,1.47008,1.1051,0.01536,0.82093,0.75822,0.77378,0.38309,1.77501,1.37365,0.02605,0.000993678,0.000993678,0.000993678
34,805.801,1.44085,1.07891,0.01502,0.77829,0.79013,0.77592,0.39466,1.77518,1.27347,0.02577,0.000990012,0.000990012,0.000990012
35,827.578,1.49794,1.11251,0.0156,0.77809,0.80962,0.78063,0.38223,1.82413,1.27163,0.02736,0.000986346,0.000986346,0.000986346
36,849.218,1.43118,1.05289,0.01416,0.8173,0.8034,0.79815,0.40575,1.75805,1.19433,0.0246,0.000982679,0.000982679,0.000982679
37,870.901,1.44386,1.04604,0.01499,0.85434,0.79539,0.8148,0.40324,1.76802,1.18267,0.02511,0.000979013,0.000979013,0.000979013
38,892.637,1.4565,1.12583,0.01459,0.83023,0.77496,0.79051,0.38828,1.82853,1.33339,0.02631,0.000975347,0.000975347,0.000975347
39,914.323,1.47582,1.08365,0.0151,0.84264,0.81208,0.80317,0.38793,1.84665,1.25839,0.02647,0.000971681,0.000971681,0.000971681
40,936.057,1.4162,1.0173,0.01431,0.80373,0.77215,0.79503,0.37307,1.89853,1.30018,0.0279,0.000968014,0.000968014,0.000968014
